user_id,account_age_days,total_past_orders,age,location,email_domain,registration_device,registration_ip,last_login_days_ago
385,267,10,53,Niger,yahoo.com,mobile,212.52.193.240,75
386,676,17,60,Ethiopia,yahoo.com,mobile,56.196.139.71,52
387,725,22,73,Jordan,gmail.com,tablet,110.6.246.215,54
388,106,4,79,Netherlands,yahoo.com,desktop,28.167.27.100,76
389,640,16,40,Jordan,yahoo.com,mobile,212.233.139.170,73
390,1040,39,31,French Polynesia,gmail.com,mobile,73.192.143.128,84
391,988,32,32,Martinique,gmail.com,mobile,194.246.154.68,44
392,753,30,25,Tanzania,gmail.com,desktop,131.240.113.108,73
393,464,21,69,Palestinian Territory,gmail.com,desktop,94.31.127.234,71
394,54,0,56,Indonesia,gmail.com,tablet,116.138.160.213,88
